experiment,variant,seed,target_lf,batch,operations,load_factor,size,avg_lookup_ns,avg_insert_ns,avg_delete_ns,tombstones,avg_probe,max_probe,avg_chain,max_chain,failed_inserts
exp2,RH,42,0.8,1,10000,0.7999992370605469,838860,2119.000011589378,7321.833322445552,2125.6332208092012,2936,2.029939441623155,24,0.0,0,0
exp2,RH,42,0.8,2,20000,0.7999992370605469,838860,2151.5738335438073,6880.735435212652,2088.6998002727823,5798,2.062689840974656,25,0.0,0,0
exp2,RH,42,0.8,3,30000,0.7999992370605469,838860,2150.075451936573,6520.2993573620915,2144.9668953816094,8546,2.0923396037479436,25,0.0,0,0
exp2,RH,42,0.8,4,40000,0.8000001907348633,838861,2198.525151470676,6731.166465518376,2246.4332869276404,11208,2.122358769808109,26,0.0,0,0
exp2,RH,42,0.8,5,50000,0.8000001907348633,838861,2234.625688288361,6569.366552866995,2255.6664965425925,13765,2.1509761450347553,26,0.0,0,0
exp2,RH,42,0.8,6,60000,0.8000020980834961,838863,2188.0249259993434,6199.866455669204,2159.5010766759515,16248,2.178218612574401,26,0.0,0,0
exp2,RH,42,0.8,7,70000,0.8000059127807617,838867,2182.0507827214897,6282.865768298507,2154.299756512046,18709,2.2056595384012008,26,0.0,0,0
exp2,RH,42,0.8,8,80000,0.8000125885009766,838874,2189.875434851274,6057.132384739816,2124.3673594047627,21112,2.232276837761094,26,0.0,0,0
exp2,RH,42,0.8,9,90000,0.8000154495239258,838877,2245.9507745224983,6223.132639812927,2176.233062831064,23502,2.258801945934863,26,0.0,0,0
exp2,RH,42,0.8,10,100000,0.8000211715698242,838883,2263.3747721556574,6082.16676240166,2289.368072524667,25799,2.2831598685394745,26,0.0,0,0
exp2,RH,42,0.8,11,110000,0.800023078918457,838885,2303.824614500627,6402.366328984499,2260.20075691243,28078,2.3096515016957033,26,0.0,0,0
exp2,RH,42,0.8,12,120000,0.8000297546386719,838892,2237.425069324672,5988.333839923143,2191.199882266422,30249,2.3351229955703476,26,0.0,0,0
exp2,RH,42,0.8,13,130000,0.8000326156616211,838895,2258.024556795135,6065.533768075207,2244.032919406891,32388,2.360130886463741,26,0.0,0,0
exp2,RH,42,0.8,14,140000,0.8000364303588867,838899,2240.574627649039,5998.532908658187,2195.601196338733,34568,2.385517207673391,26,0.0,0,0
