experiment,variant,seed,target_lf,batch,operations,load_factor,size,avg_lookup_ns,avg_insert_ns,avg_delete_ns,tombstones,avg_probe,max_probe,avg_chain,max_chain,failed_inserts
exp2,CU,42,0.45,1,10000,0.4499998092651367,471859,1566.7748521082103,2852.200297638774,1470.7328906903665,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,2,20000,0.4499998092651367,471859,1534.7753069363534,2805.7992458343506,1463.1344238296151,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,3,30000,0.4499998092651367,471859,1555.7260194327682,2850.6000138198337,1475.0991249457002,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,4,40000,0.4499998092651367,471859,1533.4256167989224,2803.5325231030583,1456.099795177579,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,5,50000,0.4499998092651367,471859,1585.4751982260495,3068.2331804806986,1580.4993454366922,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,6,60000,0.4499998092651367,471859,1545.5004759132862,2848.6333321779966,1465.666030223171,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,7,70000,0.4499998092651367,471859,1567.6753828302026,2845.9997459625206,1480.6001369530957,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,8,80000,0.4499998092651367,471859,1537.050266051665,2927.4000941465297,1475.199203317364,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,9,90000,0.4499998092651367,471859,1542.0248673763126,2763.3672580122948,1458.5329918190837,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,10,100000,0.4499998092651367,471859,1566.1499637644738,2877.6333589727683,1493.066471690933,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,11,110000,0.4499998092651367,471859,1702.0005034282804,3065.132458383838,1537.2663425902526,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,12,120000,0.4499998092651367,471859,1599.7996961232275,3036.101309893032,1520.4674564301968,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,13,130000,0.4499998092651367,471859,1610.7748670037836,2953.4678130100174,1533.0668926859894,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,14,140000,0.4499998092651367,471859,1575.299771502614,2984.400799808403,1508.9661659051974,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,15,150000,0.4499998092651367,471859,1523.5000173561275,2804.433189642926,1446.033517519633,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,16,160000,0.4499998092651367,471859,1578.0996182002127,2957.2994681075215,1513.1015485773482,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,17,170000,0.4499998092651367,471859,1474.8241810593754,2629.8672892153263,1405.2330516278744,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,18,180000,0.4499998092651367,471859,1481.6503680776805,2569.832567436,1417.5348139057555,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,19,190000,0.4499998092651367,471859,1467.6755818072706,2684.299019165337,1408.7664894759655,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,20,200000,0.4499998092651367,471859,1497.975259553641,2606.6341282178955,1424.8330844566226,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,21,210000,0.4499998092651367,471859,1549.8503053095192,2826.998825185001,1464.433114354809,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,22,220000,0.4499998092651367,471859,1479.7246258240193,2682.132956882318,1417.0340339963634,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,23,230000,0.4499998092651367,471859,1480.9998974669725,2764.333311157922,1431.767091465493,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,24,240000,0.4499998092651367,471859,1470.3756314702332,2665.5670953914523,1412.1323668708403,0,0.0,0,0.0,0,0
exp2,CU,42,0.45,25,250000,0.4499998092651367,471859,1484.5243422314525,2648.600183116893,1424.4008343666792,0,0.0,0,0.0,0,0
