experiment,variant,seed,target_lf,batch,operations,load_factor,size,avg_lookup_ns,avg_insert_ns,avg_delete_ns,tombstones,avg_probe,max_probe,avg_chain,max_chain,failed_inserts
exp2,LP,42,0.8,1,10000,0.7999992370605469,838860,2035.8511828817427,5717.632205535969,2049.032715149224,2933,0.0,0,0.0,0,0
exp2,LP,42,0.8,2,20000,0.7999992370605469,838860,2095.3991333954036,5394.766999719043,2045.6332325314481,5799,0.0,0,0.0,0,0
exp2,LP,42,0.8,3,30000,0.7999992370605469,838860,2145.149454008788,5354.734176459412,2085.999857323865,8550,0.0,0,0.0,0,0
exp2,LP,42,0.8,4,40000,0.7999992370605469,838860,2088.9492298010737,5184.266599826515,2107.066412766774,11208,0.0,0,0.0,0,0
exp2,LP,42,0.8,5,50000,0.7999992370605469,838860,2036.475285422057,5001.2329981351895,2051.9334745282927,13766,0.0,0,0.0,0,0
exp2,LP,42,0.8,6,60000,0.7999992370605469,838860,2133.499423507601,4965.934436768293,2031.7340968176723,16252,0.0,0,0.0,0,0
exp2,LP,42,0.8,7,70000,0.7999992370605469,838860,2094.4255811627954,4933.200892992318,1975.8986697221796,18719,0.0,0,0.0,0,0
exp2,LP,42,0.8,8,80000,0.7999992370605469,838860,2147.2004882525653,4798.165367295344,2013.0334499602518,21127,0.0,0,0.0,0,0
exp2,LP,42,0.8,9,90000,0.7999992370605469,838860,2174.200053559616,4852.199771751961,2071.6668417056403,23505,0.0,0,0.0,0,0
exp2,LP,42,0.8,10,100000,0.7999992370605469,838860,2079.9243939109147,4708.334221504629,2118.0003338182964,25815,0.0,0,0.0,0,0
exp2,LP,42,0.8,11,110000,0.7999992370605469,838860,2222.9751048143953,4832.633732197185,2100.9000095849237,28082,0.0,0,0.0,0,0
exp2,LP,42,0.8,12,120000,0.7999992370605469,838860,2144.79977148585,4751.233228792747,2052.0338245357075,30267,0.0,0,0.0,0,0
exp2,LP,42,0.8,13,130000,0.7999992370605469,838860,2136.2252882681787,4781.63225731502,2133.0680465325713,32430,0.0,0,0.0,0,0
exp2,LP,42,0.8,14,140000,0.7999992370605469,838860,2267.499454319477,4755.968033956985,2114.6987176810703,34612,0.0,0,0.0,0,0
exp2,LP,42,0.8,15,150000,0.7999992370605469,838860,2264.9255697615445,4707.666773659487,2091.1331521347165,36712,0.0,0,0.0,0,0
exp2,LP,42,0.8,16,160000,0.7999992370605469,838860,2148.726023733616,4684.299890262385,2201.7985271910825,38754,0.0,0,0.0,0,0
exp2,LP,42,0.8,17,170000,0.7999992370605469,838860,2193.874737713486,4709.667254549761,2156.866481527686,40757,0.0,0,0.0,0,0
exp2,LP,42,0.8,18,180000,0.7999992370605469,838860,2421.6756864916533,4902.600737599035,2252.0322042206926,42734,0.0,0,0.0,0,0
exp2,LP,42,0.8,19,190000,0.7999992370605469,838860,2349.4008637499064,4880.533165608843,2285.699243657291,44690,0.0,0,0.0,0,0
exp2,LP,42,0.8,20,200000,0.7999992370605469,838860,2284.3502811156213,4783.166844087343,2250.1670367394886,46619,0.0,0,0.0,0,0
exp2,LP,42,0.8,21,210000,0.7999992370605469,838860,2202.075207605958,4734.7666695714,2167.367027141154,48468,0.0,0,0.0,0,0
exp2,LP,42,0.8,22,220000,0.7999992370605469,838860,2283.7251017335802,4571.99973364671,2283.7995008255043,50312,0.0,0,0.0,0,0
exp2,LP,42,0.8,23,230000,0.7999992370605469,838860,2254.0498175658286,4529.800110807022,2152.099545734624,52148,0.0,0,0.0,0,0
exp2,LP,42,0.8,24,240000,0.7999992370605469,838860,2223.5501965042204,4652.366624213755,2277.43216479818,53919,0.0,0,0.0,0,0
exp2,LP,42,0.8,25,250000,0.7999992370605469,838860,2203.200157964602,4451.267033194502,2167.8660220156116,55672,0.0,0,0.0,0,0
