experiment,variant,seed,target_lf,batch,operations,load_factor,size,avg_lookup_ns,avg_insert_ns,avg_delete_ns,tombstones,avg_probe,max_probe,avg_chain,max_chain,failed_inserts
exp2,CH,42,0.8,1,10000,0.7999992370605469,838860,1416.425540810451,1464.0329948936899,1608.1331996247172,0,0.0,0,1.453694108350345,7,0
exp2,CH,42,0.8,2,20000,0.7999992370605469,838860,1460.4250027332455,1515.9000564987462,1645.3999172275267,0,0.0,0,1.4538402345943473,7,0
exp2,CH,42,0.8,3,30000,0.7999992370605469,838860,1545.8996640518308,1538.06588302056,1739.3672994027534,0,0.0,0,1.4537318968042021,7,0
exp2,CH,42,0.8,4,40000,0.7999992370605469,838860,1706.0497775673866,1764.8007487878203,2407.7993584796786,0,0.0,0,1.4537873234237466,7,0
exp2,CH,42,0.8,5,50000,0.7999992370605469,838860,1453.6252419929951,1510.8668400595584,1663.0665631964803,0,0.0,0,1.4538402345943473,7,0
exp2,CH,42,0.8,6,60000,0.7999992370605469,838860,1427.5747817009687,1486.266419912378,1624.567046140631,0,0.0,0,1.4539107888132443,7,0
exp2,CH,42,0.8,7,70000,0.7999992370605469,838860,1455.8492694050074,1492.0334797352552,1639.8333245888352,0,0.0,0,1.4538855900918233,7,0
exp2,CH,42,0.8,8,80000,0.7999992370605469,838860,1529.3253818526864,1535.2342355375488,2020.5988548696043,0,0.0,0,1.45384779364741,7,0
exp2,CH,42,0.8,9,90000,0.7999992370605469,838860,1522.1252979245037,1565.3662849217653,1746.4000266045332,0,0.0,0,1.4539561487130601,7,0
exp2,CH,42,0.8,10,100000,0.7999992370605469,838860,1408.0498658586293,1449.2333478604753,1591.000201491018,0,0.0,0,1.4538049600526854,7,0
exp2,CH,42,0.8,11,110000,0.7999992370605469,838860,1504.0257421787828,1559.366355650127,1703.199775268634,0,0.0,0,1.4538276363472507,7,0
exp2,CH,42,0.8,12,120000,0.7999992370605469,838860,1506.699511082843,1548.2999539623659,1738.9002799366913,0,0.0,0,1.4537067042833451,7,0
exp2,CH,42,0.8,13,130000,0.7999992370605469,838860,1503.7244884297252,1519.5338831593592,1677.8002803524334,0,0.0,0,1.4537948819266084,7,0
exp2,CH,42,0.8,14,140000,0.7999992370605469,838860,1540.5739250127226,1576.200632068018,1779.0658166632056,0,0.0,0,1.4538755108478254,7,0
exp2,CH,42,0.8,15,150000,0.7999992370605469,838860,1386.8743553757668,1465.7336675251524,1559.5998459806046,0,0.0,0,1.4539863902187062,7,0
exp2,CH,42,0.8,16,160000,0.7999992370605469,838860,1414.7002657409757,1461.9994908571243,1594.9002699926496,0,0.0,0,1.4539435484569854,7,0
exp2,CH,42,0.8,17,170000,0.7999992370605469,838860,1372.3242154810578,1430.7668898254633,1556.3009850059946,0,0.0,0,1.4539057489990814,7,0
exp2,CH,42,0.8,18,180000,0.7999992370605469,838860,1374.8252531513572,1426.0660391300917,1538.9992234607537,0,0.0,0,1.4539057489990814,7,0
exp2,CH,42,0.8,19,190000,0.7999992370605469,838860,1403.1251484993845,1462.1007721871138,1590.199729738136,0,0.0,0,1.4537495320883418,7,0
exp2,CH,42,0.8,20,200000,0.7999992370605469,838860,1405.2994083613157,1497.800073896845,1593.3667697633305,0,0.0,0,1.4536991466973515,7,0
exp2,CH,42,0.8,21,210000,0.7999992370605469,838860,1435.0004494190216,1436.5666623537738,1558.2001069560647,0,0.0,0,1.45374701273584,7,0
exp2,CH,42,0.8,22,220000,0.7999992370605469,838860,1436.5990064106882,1505.33354220291,1623.23412951082,0,0.0,0,1.4535857923364703,7,0
exp2,CH,42,0.8,23,230000,0.7999992370605469,838860,1403.72512396425,1465.4001376281183,1609.8660804952185,0,0.0,0,1.4535580861814426,7,0
exp2,CH,42,0.8,24,240000,0.7999992370605469,838860,1396.7499835416675,1456.1330123494067,1568.300921159486,0,0.0,0,1.4538150383184925,7,0
exp2,CH,42,0.8,25,250000,0.7999992370605469,838860,1373.2995139434934,1431.3007316862545,1542.699639685452,0,0.0,0,1.4539435484569854,7,0
exp2,CH,42,0.8,26,260000,0.7999992370605469,838860,1437.950209947303,1492.6337947448096,1622.900095147391,0,0.0,0,1.4539964710001492,7,0
exp2,CH,42,0.8,27,270000,0.7999992370605469,838860,1472.7001544088125,1548.767245064179,1647.3997384309769,0,0.0,0,1.454004031677965,7,0
exp2,CH,42,0.8,28,280000,0.7999992370605469,838860,1392.9993147030473,1450.300255479912,1585.10054461658,0,0.0,0,1.4539435484569854,7,0
exp2,CH,42,0.8,29,290000,0.7999992370605469,838860,1604.6995297074318,1652.8342384845018,1827.8666927168765,0,0.0,0,1.453850313349232,7,0
exp2,CH,42,0.8,30,300000,0.7999992370605469,838860,1411.2503558862954,1455.9321183090408,1592.8666883458693,0,0.0,0,1.453878030645723,7,0
exp2,CH,42,0.8,31,310000,0.7999992370605469,838860,1418.2997692842036,1487.7658104524016,1606.2669456005096,0,0.0,0,1.4540519177968216,7,0
exp2,CH,42,0.8,32,320000,0.7999992370605469,838860,1424.34990266338,1464.8006375258167,1594.799531934162,0,0.0,0,1.4540746017961426,7,0
exp2,CH,42,0.8,33,330000,0.7999992370605469,838860,1440.3002278413624,1474.3001277868946,1623.3325780679781,0,0.0,0,1.4541754281345831,7,0
exp2,CH,42,0.8,34,340000,0.7999992370605469,838860,1519.075274700299,1535.300126609703,1723.5328753789265,0,0.0,0,1.4541350959213284,7,0
exp2,CH,42,0.8,35,350000,0.7999992370605469,838860,1364.474679576233,1427.166280336678,1542.7001829569538,0,0.0,0,1.4541350959213284,7,0
exp2,CH,42,0.8,36,360000,0.7999992370605469,838860,1449.500152375549,1496.5332811698318,1654.8323134581249,0,0.0,0,1.4541905532913704,7,0
exp2,CH,42,0.8,37,370000,0.7999992370605469,838860,1390.9505505580455,1464.3666024009387,1581.9328060994546,0,0.0,0,1.4542661837951414,7,0
exp2,CH,42,0.8,38,380000,0.7999992370605469,838860,1339.5750138442963,1398.6336222539346,1518.699883793791,0,0.0,0,1.4541855115374813,7,0
exp2,CH,42,0.8,39,390000,0.7999992370605469,838860,1526.1505614034832,1558.4334420661132,1745.8664175743859,0,0.0,0,1.4543115658736254,7,0
exp2,CH,42,0.8,40,400000,0.7999992370605469,838860,1478.1998470425606,1491.8680535629392,1655.9995710849762,0,0.0,0,1.4542233255438213,7,0
exp2,CH,42,0.8,41,410000,0.7999992370605469,838860,1456.9010818377137,1511.2994782005746,1657.1326414123178,0,0.0,0,1.4542737472781992,7,0
exp2,CH,42,0.8,42,420000,0.7999992370605469,838860,1450.375362765044,1498.1329829121628,1665.9658091763656,0,0.0,0,1.454182990673647,7,0
exp2,CH,42,0.8,43,430000,0.7999992370605469,838860,1487.1751191094518,1516.466261819005,1661.1330599213638,0,0.0,0,1.454382165848043,7,0
exp2,CH,42,0.8,44,440000,0.7999992370605469,838860,1507.4252150952816,1534.7998899718125,1708.7003216147423,0,0.0,0,1.4542863532581278,7,0
exp2,CH,42,0.8,45,450000,0.7999992370605469,838860,1437.8000050783157,1476.4334773644805,1622.7668384090066,0,0.0,0,1.4543090445727362,7,0
exp2,CH,42,0.8,46,460000,0.7999992370605469,838860,1365.275529678911,1446.101659288009,1548.1994099294147,0,0.0,0,1.454293916950986,7,0
exp2,CH,42,0.8,47,470000,0.7999992370605469,838860,1381.8496081512421,1442.5663199896612,1572.1007560690243,0,0.0,0,1.4541703864855728,7,0
exp2,CH,42,0.8,48,480000,0.7999992370605469,838860,1452.7751773130149,1545.1331855729222,1693.200630446275,0,0.0,0,1.4542107206565322,7,0
exp2,CH,42,0.8,49,490000,0.7999992370605469,838860,1510.999776655808,1553.2665808374684,1731.5006892507276,0,0.0,0,1.4542308885810822,7,0
exp2,CH,42,0.8,50,500000,0.7999992370605469,838860,1427.350303856656,1469.7664106885593,1618.9003751302757,0,0.0,0,1.4541703864855728,7,0
exp2,CH,42,0.8,51,510000,0.7999992370605469,838860,1455.9996197931468,1551.3329999521375,1662.7333825454116,0,0.0,0,1.4541527409893356,7,0
exp2,CH,42,0.8,52,520000,0.7999992370605469,838860,1402.8249715920538,1465.667310791711,1570.7998148476083,0,0.0,0,1.4541275338804123,7,0
exp2,CH,42,0.8,53,530000,0.7999992370605469,838860,1470.549963414669,1507.3676283160846,1663.9666476597388,0,0.0,0,1.4541149306536636,8,0
exp2,CH,42,0.8,54,540000,0.7999992370605469,838860,1455.6485984940082,1494.567763681213,1655.2339851235351,0,0.0,0,1.4540720813168222,8,0
exp2,CH,42,0.8,55,550000,0.7999992370605469,838860,1370.6747849937528,1429.8332777495184,1529.1669017945726,0,0.0,0,1.4539107888132443,8,0
exp2,CH,42,0.8,56,560000,0.7999992370605469,838860,1421.7502030078322,1446.1325869585075,1554.3335660671194,0,0.0,0,1.4538830702677221,8,0
exp2,CH,42,0.8,57,570000,0.7999992370605469,838860,1373.0750943068415,1431.699648189048,1546.0671468948324,0,0.0,0,1.4538326756198885,8,0
exp2,CH,42,0.8,58,580000,0.7999992370605469,838860,1430.9001853689551,1493.8995785390337,1626.0331418986123,0,0.0,0,1.45377724554219,8,0
exp2,CH,42,0.8,59,590000,0.7999992370605469,838860,1367.4753427039832,1406.9331421827276,1526.3332364459834,0,0.0,0,1.453638688838212,8,0
